Date,Activity,Length,Count (of attendees)
"Wed, 9/2/15",CityArts Alice Wall Mural,360 min,15
"Sat, 9/5/15 - Sun, 9/6/15",NYC Unicycle Fest,600 min,22
"Sun, 9/6/15",West Side County Fair,360 min,9
"Sat, 9/12/15",Harvest Fest,450 min,20
"Sat, 9/12/15",Load OUT!,240 min,2
"Sun, 9/13/15",NYSoM Back to School Bonanza,360 min,23
"Sun, 9/13/15",NYC Century Bike Tour,360 min,37
Sun 9/13/15,Race for the Cure,360 min,90
"Fri, 9/18/15",SRC Interest Meeting,60 min,194
"Sat, 9/19/15",11th Annual RBC Race for the Kids 2015,420 min,11
"Sat, 9/19/15",Lindsay Park Housing Block Party,480 min,7
"Sat, 9/19/15",Hudson River Park Green Team,180 min,8
"Sat, 9/19/15",MDA Muscle Walk of Metro New York,270 min,17
"Sun, 9/20/15",2015 Walk to End Alzheimer's Queens,300 min,47
"Tues, 9/22/15",Diversity Open House,180 min,168
"Sat, 9/26/15",Autumn Moon Festival,600 min,72
"Sun, 9/27/15",2015 Tunnel To Towers 5K Run & Walk,300 min,11
"Sun, 9/27/15",JDRF Walk,240 min,14
"Wed, 9/30/15 - Fri, 10/2/15",Ally Week,1230 min,55
"Sat, 10/3/15",Light the Night,390 min,19
"Sat, 10/3/15",Bay Ridge Half Marathon,360 min,7
"Sun, 10/4/15",Taste of Battery Park,270 min,17
"Sun, 10/4/15",2015 Walk to End Alzheimer's Brooklyn,330 min,18
"Mon, 10/5/15 - Tues, 10/6/15",Stuy Open House,480 min,360
"Thurs, 10/1/15 - Thurs, 10/8/15",CPC Tutoring,240 min,20
"Sat, 10/10/15",Brooklyn Columbus Day Parade,180 min,68
"Sat, 10/10/15",StuyHacks Hackathon,780 min,3
"Sat, 10/10/15",Insane Inflatable 5K,510 min,7
"Sun, 10/11/15",NYC Duathlon,300 min,13
"Sun, 10/11/15",Brooklyn Take Steps for Crohn's and Colitis,210 min,47
"Sat, 10/17/15",Walk with Us to Cure Lupus,360 min,19
"Sat, 10/17/15",2015 Terry Fox Run ,180 min,14
"Sat, 10/17/15",CPC Table Tennis Tournament,420 min,13
"Sat, 10/17/15",Hudson River Park Green Team Part 3,180 min,8
"Sat, 10/17/15",Autumn Moon Festival Setup,180 min,19
"Sat, 10/17/15",Hudson Guild Helping Blind Locals,240 min,3
"Sat, 10/17/15 - Sun, 10/18/15",Manhattan High School Fair,240 min,6
"Sun, 10/18/15",2015 Walk to End Alzheimer's Manhattan,330 min,18
"Sun, 10/18/15",Autumn Moon Festival,660 min,65
"Sun, 10/18/15",Making Strides Against Breast Cancer,360 min,35
"Sat, 10/24/15",NYC Smoke-Free | Launch Event,300 min,21
"Mon, 10/19/15 - Thurs, 10/22/15",CPC Tutoring,240 min,12
"Sun, 10/25/15",New York City 10K ,300 min,27
"Fri, 10/23/15 - Sat, 10/24/15",Spruce Street School PS 397 HALLOWEEN EVENT,570 min,22
"Sat, 10/24/15",Central Park Duathlon,300 min,14
"Mon, 10/26/15 - Thurs, 10/29/15",CPC Tutoring,240 min,13
"Tues, 10/27/15",Susan G. Komen Office Help,120 min,4
"Fri, 10/30/15",Asphalt Screams,60 min,17
"Sun, 11/1/15",NYRR TCS Marathon,600 min,82
"Sun, 11/1/15",NYC Marathon Cheer Station,270 min,14
"Mon, 11/2/15 - Thurs, 11/5/15",CPC Tutoring,240 min,5
"Sat, 11/7/15",Jefferson Awards Fall Leadership Conference,540 min,22
"Sat, 11/7/15",Breathe Deep,330 min,10
"Sat, 11/7/15 - Sun, 11/8/15",ChickTech Workshop,1080 min,28
"Sun, 11/8/15",Breakthrough for Brain Tumors 5K,240 min,39
"Sun, 11/8/15",Making Strides Against Breast Cancer,390 min,25
"Sun, 11/8/15",ARC Preparedness Scavenger Hunt,240 min,18
"Mon, 11/9/15 - Thurs, 11/12/15",CPC Tutoring,240 min,6
"Sun, 11/15/15",The Lauren Beam 5K,180 min,5
"Mon, 11/16/15 - Thurs, 11/19/15",CPC Tutoring,240 min,8
"Thurs, 11/16/15  - Fri, 11/20/15",Stuy PTC ,330 min,322
"Sat, 11/21/15",Hudson Riverside Park Green Team! Part 4,180 min,9
"Sat, 11/21/15 - Sun, 11/22/15",Goddard Riverside Book Fair,1080 min,13
