1006,0
1008,0
1009,40
1010,0
1012,24
1015,0
1022,52.5
1032,110.5
1038,10
1044,158.5
1047,6
1051,0
1060,0
1061,16
1066,36
1070,40
1081,1.5
1083,35
1087,38
1095,264
1101,7.5
1108,35.5
1111,2
1124,2
1130,23.5
1131,3
1135,33
1138,13
1141,36.5
1147,14.5
1155,67.5
1165,13.5
1173,3
1178,49.5
1184,1
1188,0
1195,6
1197,0
1206,0
1209,72
1238,76
1246,24
1267,27.5
1272,4
1292,17.5
1306,2
1311,0
1319,32.5
1321,6
1344,0
1348,34.5
1360,-11.5
1366,41.5
1382,0
1387,0
1389,21
1391,6
1393,4
1405,8
1428,12
1429,22
1438,381
1446,23.5
1452,35.5
1455,4.5
1456,47.5
1461,-5
1468,2
1471,4
1473,0
1481,-2
1491,0
1494,43.5
1502,2
1510,18
1521,36
1522,3
1526,0
1527,21
1532,85
1547,29
1559,6
1579,0
1581,24
1583,0
1595,79.5
1603,28
1604,0
1608,146
1631,9.5
1647,0
1648,0
1655,0
1657,38.5
1679,14
1684,23
1687,-28.5
1689,-17.5
1692,1
1717,0
1718,25.5
1722,-5.5
1723,52.5
1729,25
1736,8
1737,19.5
1753,8
1759,7.5
1791,-8
1794,31
1797,17
1803,11.5
1806,66
1809,0
1810,7
1812,29.5
1815,0
1820,0
1826,27.5
1830,0
1831,0
1834,32
1840,19.5
1842,50.5
1844,41
1852,20.5
1854,21
1856,0
1861,23.5
1863,41
1864,5
1867,-10
1876,3
1877,22
1881,88.5
1891,0
1895,0
1910,26.5
1911,0
1916,25.5
1922,6
1925,30
1927,50
1938,0
1943,-3
1944,50.5
1946,38.5
1962,22
1978,27
1980,12
1981,45
1988,0
1990,9
2000,38.5
2006,0
2007,7
2009,42
2016,5
2018,8
2019,10
2021,1
2024,0
2025,38
2027,44
2029,0
2030,68.5
2033,41
2039,58.5
2043,108
2046,10
2048,0
2050,19
2052,3
2053,0
2055,0
2060,110
2068,0
2070,45.5
2072,61.5
2073,111.5
2074,7
2077,13
2080,9
2085,0
2086,0
2087,6.5
2092,3
2095,8
2098,-6
2099,2.5
2103,0
2104,94.5
2106,5.5
2110,8.5
2111,49
2114,189.5
2119,7
2123,75.5
2126,0
2130,1
2132,42
2134,-7
2135,3
2143,57.5
2149,32.5
2150,22
2152,10
2154,6
2161,53.5
2162,40
2163,8.5
2165,1
2167,42.5
2170,4
2171,0
2172,21
2173,3
2179,62.5
2180,71.5
2191,-3
2193,-14
2195,31.5
2197,42.5
2198,7
2199,8
2203,21
2208,13
2213,56
2217,8
2219,4
2221,71
2224,62
2227,20
2229,27
2230,9
2232,44.5
2233,7.5
2235,35
2236,0
2239,0
2243,1
2244,32
2245,100
2249,49.5
2250,1.5
2252,2.5
2259,78.5
2264,14
2266,40.5
2271,0
2273,190
2275,6
2276,-1
2277,26
2282,13.5
2284,46
2285,26.5
2287,11
2290,0
2295,48.5
2297,3
2301,15
2303,53
2306,0
2312,21.5
2313,2
2314,43
2319,3
2322,50.5
2325,46
2326,19
2329,42
2333,20.5
2335,0
2337,2
2338,17
2346,61.5
2351,2
2353,23.5
2355,43.5
2356,3
2363,4
2366,3
2368,55.5
2371,10.5
2373,14
2375,0
2379,13.5
2380,41.5
2381,0
2384,8
2390,6.5
2392,6
2397,1
2401,31.5
2403,4
2404,66.5
2407,10
2408,40.5
2412,21
2419,58
2424,0
2426,46.5
2430,30
2431,15
2433,67.5
2439,-18.5
2444,83
2446,2
2447,220.5
2455,52.5
2456,42
2460,0
2470,0
2477,26.5
2485,58.5
2492,1
2494,25.5
2497,62
2498,61.5
2500,30.5
2503,40.5
2504,46
2507,11
2508,196.5
2509,70
2511,35.5
2512,40.5
2517,-1
2520,47.5
2521,40.5
2527,3
2528,8
2530,4
2533,61
2534,8
2535,0
2537,-0.5
2541,5
